paramSetNum,N,g0,g1,kd,ha,hr,fa,fr
93,20,0.5,7,1,1e-05,0.1,1.0,0.1
94,20,0.5,7,1,1e-05,0.1,1.0,1.0
95,20,0.5,7,1,1e-05,0.1,1.0,10.0
96,20,0.5,7,1,1e-05,0.1,1.0,1000.0
97,20,0.5,7,1,1e-05,0.1,10.0,1e-05
98,20,0.5,7,1,1e-05,0.1,10.0,0.001
99,20,0.5,7,1,1e-05,0.1,10.0,0.1
100,20,0.5,7,1,1e-05,0.1,10.0,1.0
101,20,0.5,7,1,1e-05,0.1,10.0,10.0
102,20,0.5,7,1,1e-05,0.1,10.0,1000.0
103,20,0.5,7,1,1e-05,0.1,1000.0,1e-05
104,20,0.5,7,1,1e-05,0.1,1000.0,0.001
105,20,0.5,7,1,1e-05,0.1,1000.0,0.1
106,20,0.5,7,1,1e-05,0.1,1000.0,1.0
107,20,0.5,7,1,1e-05,0.1,1000.0,10.0
108,20,0.5,7,1,1e-05,0.1,1000.0,1000.0
109,20,0.5,7,1,1e-05,1.0,1e-05,1e-05
110,20,0.5,7,1,1e-05,1.0,1e-05,0.001
111,20,0.5,7,1,1e-05,1.0,1e-05,0.1
112,20,0.5,7,1,1e-05,1.0,1e-05,1.0
113,20,0.5,7,1,1e-05,1.0,1e-05,10.0
114,20,0.5,7,1,1e-05,1.0,1e-05,1000.0
115,20,0.5,7,1,1e-05,1.0,0.001,1e-05
116,20,0.5,7,1,1e-05,1.0,0.001,0.001
117,20,0.5,7,1,1e-05,1.0,0.001,0.1
118,20,0.5,7,1,1e-05,1.0,0.001,1.0
119,20,0.5,7,1,1e-05,1.0,0.001,10.0
120,20,0.5,7,1,1e-05,1.0,0.001,1000.0
121,20,0.5,7,1,1e-05,1.0,0.1,1e-05
122,20,0.5,7,1,1e-05,1.0,0.1,0.001
123,20,0.5,7,1,1e-05,1.0,0.1,0.1
124,20,0.5,7,1,1e-05,1.0,0.1,1.0
125,20,0.5,7,1,1e-05,1.0,0.1,10.0
126,20,0.5,7,1,1e-05,1.0,0.1,1000.0
127,20,0.5,7,1,1e-05,1.0,1.0,1e-05
128,20,0.5,7,1,1e-05,1.0,1.0,0.001
129,20,0.5,7,1,1e-05,1.0,1.0,0.1
130,20,0.5,7,1,1e-05,1.0,1.0,1.0
131,20,0.5,7,1,1e-05,1.0,1.0,10.0
132,20,0.5,7,1,1e-05,1.0,1.0,1000.0
133,20,0.5,7,1,1e-05,1.0,10.0,1e-05
134,20,0.5,7,1,1e-05,1.0,10.0,0.001
135,20,0.5,7,1,1e-05,1.0,10.0,0.1
136,20,0.5,7,1,1e-05,1.0,10.0,1.0
137,20,0.5,7,1,1e-05,1.0,10.0,10.0
138,20,0.5,7,1,1e-05,1.0,10.0,1000.0
139,20,0.5,7,1,1e-05,1.0,1000.0,1e-05
140,20,0.5,7,1,1e-05,1.0,1000.0,0.001
141,20,0.5,7,1,1e-05,1.0,1000.0,0.1
142,20,0.5,7,1,1e-05,1.0,1000.0,1.0
143,20,0.5,7,1,1e-05,1.0,1000.0,10.0
144,20,0.5,7,1,1e-05,1.0,1000.0,1000.0
145,20,0.5,7,1,1e-05,10.0,1e-05,1e-05
146,20,0.5,7,1,1e-05,10.0,1e-05,0.001
147,20,0.5,7,1,1e-05,10.0,1e-05,0.1
148,20,0.5,7,1,1e-05,10.0,1e-05,1.0
149,20,0.5,7,1,1e-05,10.0,1e-05,10.0
150,20,0.5,7,1,1e-05,10.0,1e-05,1000.0
151,20,0.5,7,1,1e-05,10.0,0.001,1e-05
152,20,0.5,7,1,1e-05,10.0,0.001,0.001
153,20,0.5,7,1,1e-05,10.0,0.001,0.1
154,20,0.5,7,1,1e-05,10.0,0.001,1.0
155,20,0.5,7,1,1e-05,10.0,0.001,10.0
156,20,0.5,7,1,1e-05,10.0,0.001,1000.0
157,20,0.5,7,1,1e-05,10.0,0.1,1e-05
158,20,0.5,7,1,1e-05,10.0,0.1,0.001
159,20,0.5,7,1,1e-05,10.0,0.1,0.1
160,20,0.5,7,1,1e-05,10.0,0.1,1.0
161,20,0.5,7,1,1e-05,10.0,0.1,10.0
162,20,0.5,7,1,1e-05,10.0,0.1,1000.0
163,20,0.5,7,1,1e-05,10.0,1.0,1e-05
164,20,0.5,7,1,1e-05,10.0,1.0,0.001
165,20,0.5,7,1,1e-05,10.0,1.0,0.1
166,20,0.5,7,1,1e-05,10.0,1.0,1.0
167,20,0.5,7,1,1e-05,10.0,1.0,10.0
168,20,0.5,7,1,1e-05,10.0,1.0,1000.0
169,20,0.5,7,1,1e-05,10.0,10.0,1e-05
170,20,0.5,7,1,1e-05,10.0,10.0,0.001
171,20,0.5,7,1,1e-05,10.0,10.0,0.1
172,20,0.5,7,1,1e-05,10.0,10.0,1.0
173,20,0.5,7,1,1e-05,10.0,10.0,10.0
174,20,0.5,7,1,1e-05,10.0,10.0,1000.0
175,20,0.5,7,1,1e-05,10.0,1000.0,1e-05
176,20,0.5,7,1,1e-05,10.0,1000.0,0.001
177,20,0.5,7,1,1e-05,10.0,1000.0,0.1
178,20,0.5,7,1,1e-05,10.0,1000.0,1.0
179,20,0.5,7,1,1e-05,10.0,1000.0,10.0
180,20,0.5,7,1,1e-05,10.0,1000.0,1000.0
181,20,0.5,7,1,1e-05,1000.0,1e-05,1e-05
182,20,0.5,7,1,1e-05,1000.0,1e-05,0.001
183,20,0.5,7,1,1e-05,1000.0,1e-05,0.1
184,20,0.5,7,1,1e-05,1000.0,1e-05,1.0
185,20,0.5,7,1,1e-05,1000.0,1e-05,10.0
186,20,0.5,7,1,1e-05,1000.0,1e-05,1000.0
187,20,0.5,7,1,1e-05,1000.0,0.001,1e-05
188,20,0.5,7,1,1e-05,1000.0,0.001,0.001
189,20,0.5,7,1,1e-05,1000.0,0.001,0.1
190,20,0.5,7,1,1e-05,1000.0,0.001,1.0
191,20,0.5,7,1,1e-05,1000.0,0.001,10.0
192,20,0.5,7,1,1e-05,1000.0,0.001,1000.0
193,20,0.5,7,1,1e-05,1000.0,0.1,1e-05
194,20,0.5,7,1,1e-05,1000.0,0.1,0.001
195,20,0.5,7,1,1e-05,1000.0,0.1,0.1
196,20,0.5,7,1,1e-05,1000.0,0.1,1.0
197,20,0.5,7,1,1e-05,1000.0,0.1,10.0
198,20,0.5,7,1,1e-05,1000.0,0.1,1000.0
199,20,0.5,7,1,1e-05,1000.0,1.0,1e-05
200,20,0.5,7,1,1e-05,1000.0,1.0,0.001
201,20,0.5,7,1,1e-05,1000.0,1.0,0.1
202,20,0.5,7,1,1e-05,1000.0,1.0,1.0
203,20,0.5,7,1,1e-05,1000.0,1.0,10.0
204,20,0.5,7,1,1e-05,1000.0,1.0,1000.0
205,20,0.5,7,1,1e-05,1000.0,10.0,1e-05
206,20,0.5,7,1,1e-05,1000.0,10.0,0.001
207,20,0.5,7,1,1e-05,1000.0,10.0,0.1
208,20,0.5,7,1,1e-05,1000.0,10.0,1.0
209,20,0.5,7,1,1e-05,1000.0,10.0,10.0
210,20,0.5,7,1,1e-05,1000.0,10.0,1000.0
211,20,0.5,7,1,1e-05,1000.0,1000.0,1e-05
212,20,0.5,7,1,1e-05,1000.0,1000.0,0.001
213,20,0.5,7,1,1e-05,1000.0,1000.0,0.1
214,20,0.5,7,1,1e-05,1000.0,1000.0,1.0
215,20,0.5,7,1,1e-05,1000.0,1000.0,10.0
216,20,0.5,7,1,1e-05,1000.0,1000.0,1000.0
217,20,0.5,7,1,0.001,1e-05,1e-05,1e-05
218,20,0.5,7,1,0.001,1e-05,1e-05,0.001
219,20,0.5,7,1,0.001,1e-05,1e-05,0.1
220,20,0.5,7,1,0.001,1e-05,1e-05,1.0
221,20,0.5,7,1,0.001,1e-05,1e-05,10.0
222,20,0.5,7,1,0.001,1e-05,1e-05,1000.0
223,20,0.5,7,1,0.001,1e-05,0.001,1e-05
224,20,0.5,7,1,0.001,1e-05,0.001,0.001
225,20,0.5,7,1,0.001,1e-05,0.001,0.1
226,20,0.5,7,1,0.001,1e-05,0.001,1.0
227,20,0.5,7,1,0.001,1e-05,0.001,10.0
228,20,0.5,7,1,0.001,1e-05,0.001,1000.0
229,20,0.5,7,1,0.001,1e-05,0.1,1e-05
230,20,0.5,7,1,0.001,1e-05,0.1,0.001
231,20,0.5,7,1,0.001,1e-05,0.1,0.1
232,20,0.5,7,1,0.001,1e-05,0.1,1.0
233,20,0.5,7,1,0.001,1e-05,0.1,10.0
234,20,0.5,7,1,0.001,1e-05,0.1,1000.0
235,20,0.5,7,1,0.001,1e-05,1.0,1e-05
236,20,0.5,7,1,0.001,1e-05,1.0,0.001
237,20,0.5,7,1,0.001,1e-05,1.0,0.1
238,20,0.5,7,1,0.001,1e-05,1.0,1.0
239,20,0.5,7,1,0.001,1e-05,1.0,10.0
240,20,0.5,7,1,0.001,1e-05,1.0,1000.0
