paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
41,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,0.001
42,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,1.0
43,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,1e-05
44,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,0.001
45,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,1.0
46,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,1e-05
47,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,0.001
48,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,1.0
49,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,1e-05
50,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,0.001
51,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,1.0
52,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,1e-05
53,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,0.001
54,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,1.0
55,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,1e-05,1e-05
56,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,1e-05,0.001
57,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,1e-05,1.0
