paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,1e-05
2,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,0.0031622776601683794
3,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,1.0
4,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,316.22776601683796
5,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,100000.0
6,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0031622776601683794,1e-05
7,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0031622776601683794,0.0031622776601683794
8,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0031622776601683794,1.0
9,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0031622776601683794,316.22776601683796
10,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0031622776601683794,100000.0
11,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0,1e-05
12,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0,0.0031622776601683794
13,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0,1.0
14,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0,316.22776601683796
15,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0,100000.0
16,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,316.22776601683796,1e-05
17,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,316.22776601683796,0.0031622776601683794
18,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,316.22776601683796,1.0
19,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,316.22776601683796,316.22776601683796
20,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,316.22776601683796,100000.0
21,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100000.0,1e-05
22,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100000.0,0.0031622776601683794
23,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100000.0,1.0
24,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100000.0,316.22776601683796
25,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100000.0,100000.0
26,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,1e-05
27,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,0.0031622776601683794
28,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,1.0
29,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,316.22776601683796
30,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,100000.0
31,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,0.0031622776601683794,1e-05
32,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,0.0031622776601683794,0.0031622776601683794
33,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,0.0031622776601683794,1.0
34,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,0.0031622776601683794,316.22776601683796
35,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,0.0031622776601683794,100000.0
36,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1.0,1e-05
37,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1.0,0.0031622776601683794
38,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1.0,1.0
39,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1.0,316.22776601683796
40,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1.0,100000.0
41,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,316.22776601683796,1e-05
42,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,316.22776601683796,0.0031622776601683794
43,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,316.22776601683796,1.0
44,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,316.22776601683796,316.22776601683796
45,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,316.22776601683796,100000.0
46,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,100000.0,1e-05
47,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,100000.0,0.0031622776601683794
48,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,100000.0,1.0
49,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,100000.0,316.22776601683796
50,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,100000.0,100000.0
51,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,1e-05,1e-05
52,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,1e-05,0.0031622776601683794
53,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,1e-05,1.0
54,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,1e-05,316.22776601683796
55,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,1e-05,100000.0
56,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,0.0031622776601683794,1e-05
57,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,0.0031622776601683794,0.0031622776601683794
58,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,0.0031622776601683794,1.0
59,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,0.0031622776601683794,316.22776601683796
60,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,0.0031622776601683794,100000.0
61,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.03162277660168379,1.0,1e-05
