paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0
2,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,31.622776601683793
3,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1000.0
4,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,31622.776601683792
5,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1000000.0
6,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31.622776601683793,1.0
7,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31.622776601683793,31.622776601683793
8,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31.622776601683793,1000.0
9,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31.622776601683793,31622.776601683792
10,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31.622776601683793,1000000.0
11,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000.0,1.0
12,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000.0,31.622776601683793
13,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000.0,1000.0
14,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000.0,31622.776601683792
15,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000.0,1000000.0
16,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31622.776601683792,1.0
17,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31622.776601683792,31.622776601683793
18,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31622.776601683792,1000.0
19,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31622.776601683792,31622.776601683792
20,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,31622.776601683792,1000000.0
21,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000000.0,1.0
22,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000000.0,31.622776601683793
23,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000000.0,1000.0
24,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000000.0,31622.776601683792
25,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1000000.0,1000000.0
26,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1.0,1.0
27,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1.0,31.622776601683793
28,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1.0,1000.0
29,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1.0,31622.776601683792
30,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1.0,1000000.0
31,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31.622776601683793,1.0
32,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31.622776601683793,31.622776601683793
33,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31.622776601683793,1000.0
34,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31.622776601683793,31622.776601683792
35,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31.622776601683793,1000000.0
36,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1000.0,1.0
37,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1000.0,31.622776601683793
38,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1000.0,1000.0
39,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1000.0,31622.776601683792
40,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,1000.0,1000000.0
41,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31622.776601683792,1.0
42,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31622.776601683792,31.622776601683793
43,20,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,31.622776601683793,31622.776601683792,1000.0
