paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1.0
2,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,4.216965034285822
3,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,17.78279410038923
4,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,74.98942093324558
5,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,316.22776601683796
6,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1333.521432163324
7,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,5623.413251903491
8,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,23713.737056616552
9,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,100000.0
10,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1.0
11,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,4.216965034285822
12,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,17.78279410038923
13,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,74.98942093324558
14,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,316.22776601683796
15,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1333.521432163324
16,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,5623.413251903491
17,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,23713.737056616552
18,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,100000.0
19,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1.0
20,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,4.216965034285822
21,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,17.78279410038923
22,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,74.98942093324558
23,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,316.22776601683796
24,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1333.521432163324
25,35,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,5623.413251903491
