paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,1
2,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,100
3,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,10000
4,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,1000000
5,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,100000000
6,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100,1
7,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100,100
8,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100,10000
9,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100,1000000
10,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100,100000000
11,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,10000,1
12,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,10000,100
13,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,10000,10000
14,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,10000,1000000
15,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,10000,100000000
16,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1000000,1
17,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1000000,100
18,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1000000,10000
19,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1000000,1000000
20,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1000000,100000000
21,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100000000,1
22,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100000000,100
23,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100000000,10000
24,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100000000,1000000
25,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,100000000,100000000
26,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1,1
27,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1,100
28,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1,10000
29,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1,1000000
30,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1,100000000
31,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100,1
32,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100,100
33,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100,10000
34,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100,1000000
35,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100,100000000
36,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,10000,1
37,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,10000,100
38,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,10000,10000
39,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,10000,1000000
40,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,10000,100000000
41,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1000000,1
42,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1000000,100
43,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1000000,10000
44,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1000000,1000000
45,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,1000000,100000000
46,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100000000,1
47,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100000000,100
48,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100000000,10000
49,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100000000,1000000
50,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100,100000000,100000000
51,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1,1
52,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1,100
53,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1,10000
54,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1,1000000
55,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1,100000000
56,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100,1
57,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100,100
58,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100,10000
59,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100,1000000
60,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100,100000000
61,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,10000,1
62,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,10000,100
63,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,10000,10000
64,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,10000,1000000
65,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,10000,100000000
66,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1000000,1
67,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1000000,100
68,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1000000,10000
69,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1000000,1000000
70,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,1000000,100000000
71,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100000000,1
72,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100000000,100
73,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100000000,10000
74,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100000000,1000000
75,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,10000,100000000,100000000
76,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1,1
77,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1,100
78,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1,10000
79,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1,1000000
80,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1,100000000
81,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100,1
82,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100,100
83,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100,10000
84,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100,1000000
85,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100,100000000
86,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,10000,1
87,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,10000,100
88,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,10000,10000
89,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,10000,1000000
90,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,10000,100000000
91,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1000000,1
92,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1000000,100
93,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1000000,10000
94,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1000000,1000000
95,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,1000000,100000000
96,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100000000,1
97,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100000000,100
98,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100000000,10000
99,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100000000,1000000
100,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1000000,100000000,100000000
101,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1,1
102,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1,100
103,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1,10000
104,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1,1000000
105,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1,100000000
106,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,100,1
107,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,100,100
108,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,100,10000
109,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,100,1000000
110,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,100,100000000
111,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,10000,1
112,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,10000,100
113,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,10000,10000
114,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,10000,1000000
115,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,10000,100000000
116,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1000000,1
117,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1000000,100
118,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,100000000,1000000,10000
