paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
41,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,1000.0,1e-05,0.1,1e-05
42,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,1000.0,1e-05,0.1,1.0
43,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,100000.0,1e-05,1e-05,1e-05
44,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,100000.0,1e-05,1e-05,1.0
45,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,100000.0,1e-05,0.001,1e-05
46,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,100000.0,1e-05,0.001,1.0
47,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,100000.0,1e-05,0.1,1e-05
48,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,10.0,100000.0,1e-05,0.1,1.0
49,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,0.1,1e-05,1e-05,1e-05
50,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,0.1,1e-05,1e-05,1.0
51,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,0.1,1e-05,0.001,1e-05
52,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,0.1,1e-05,0.001,1.0
53,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,0.1,1e-05,0.1,1e-05
54,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,0.1,1e-05,0.1,1.0
55,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,10.0,1e-05,1e-05,1e-05
56,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,10.0,1e-05,1e-05,1.0
57,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,10.0,1e-05,0.001,1e-05
58,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,10.0,1e-05,0.001,1.0
59,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,10.0,1e-05,0.1,1e-05
60,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,10.0,1e-05,0.1,1.0
61,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,1000.0,1e-05,1e-05,1e-05
62,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,1000.0,1e-05,1e-05,1.0
63,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,1000.0,1e-05,0.001,1e-05
64,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,1000.0,1e-05,0.001,1.0
65,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,1000.0,1e-05,0.1,1e-05
66,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,1000.0,1e-05,0.1,1.0
67,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,100000.0,1e-05,1e-05,1e-05
68,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,100000.0,1e-05,1e-05,1.0
69,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,100000.0,1e-05,0.001,1e-05
70,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,100000.0,1e-05,0.001,1.0
71,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,100000.0,1e-05,0.1,1e-05
72,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,1000.0,100000.0,1e-05,0.1,1.0
73,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,0.1,1e-05,1e-05,1e-05
74,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,0.1,1e-05,1e-05,1.0
75,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,0.1,1e-05,0.001,1e-05
76,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,0.1,1e-05,0.001,1.0
77,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,0.1,1e-05,0.1,1e-05
78,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,0.1,1e-05,0.1,1.0
79,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,10.0,1e-05,1e-05,1e-05
80,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,10.0,1e-05,1e-05,1.0
81,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,10.0,1e-05,0.001,1e-05
82,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,10.0,1e-05,0.001,1.0
83,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,10.0,1e-05,0.1,1e-05
84,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,10.0,1e-05,0.1,1.0
85,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,1000.0,1e-05,1e-05,1e-05
86,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,1000.0,1e-05,1e-05,1.0
87,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,1000.0,1e-05,0.001,1e-05
88,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,1000.0,1e-05,0.001,1.0
89,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,1000.0,1e-05,0.1,1e-05
90,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,1000.0,1e-05,0.1,1.0
91,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,100000.0,1e-05,1e-05,1e-05
92,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,100000.0,1e-05,1e-05,1.0
93,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,100000.0,1e-05,0.001,1e-05
94,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,100000.0,1e-05,0.001,1.0
95,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,100000.0,1e-05,0.1,1e-05
96,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,0.1,100000.0,100000.0,1e-05,0.1,1.0
97,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,0.1,1e-05,1e-05,1e-05
98,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,0.1,1e-05,1e-05,1.0
99,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,0.1,1e-05,0.001,1e-05
100,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,0.1,1e-05,0.001,1.0
101,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,0.1,1e-05,0.1,1e-05
102,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,0.1,1e-05,0.1,1.0
103,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,10.0,1e-05,1e-05,1e-05
104,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,10.0,1e-05,1e-05,1.0
105,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,10.0,1e-05,0.001,1e-05
106,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,10.0,1e-05,0.001,1.0
107,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,10.0,1e-05,0.1,1e-05
108,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,10.0,1e-05,0.1,1.0
109,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,1000.0,1e-05,1e-05,1e-05
110,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,1000.0,1e-05,1e-05,1.0
111,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,1000.0,1e-05,0.001,1e-05
112,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,1000.0,1e-05,0.001,1.0
113,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,1000.0,1e-05,0.1,1e-05
114,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,1000.0,1e-05,0.1,1.0
115,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,100000.0,1e-05,1e-05,1e-05
116,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,100000.0,1e-05,1e-05,1.0
117,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,100000.0,1e-05,0.001,1e-05
118,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,100000.0,1e-05,0.001,1.0
119,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,100000.0,1e-05,0.1,1e-05
120,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,0.1,100000.0,1e-05,0.1,1.0
121,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,0.1,1e-05,1e-05,1e-05
122,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,0.1,1e-05,1e-05,1.0
123,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,0.1,1e-05,0.001,1e-05
124,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,0.1,1e-05,0.001,1.0
125,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,0.1,1e-05,0.1,1e-05
126,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,0.1,1e-05,0.1,1.0
