paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1.0
2,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,4.216965034285822
3,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,17.78279410038923
4,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,74.98942093324558
5,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,316.22776601683796
6,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1333.521432163324
7,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,5623.413251903491
8,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,23713.737056616552
9,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,100000.0
10,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1.0
11,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,4.216965034285822
12,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,17.78279410038923
13,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,74.98942093324558
14,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,316.22776601683796
15,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1333.521432163324
16,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,5623.413251903491
17,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,23713.737056616552
18,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,100000.0
19,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1.0
20,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,4.216965034285822
21,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,17.78279410038923
22,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,74.98942093324558
23,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,316.22776601683796
24,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1333.521432163324
25,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,5623.413251903491
26,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,23713.737056616552
27,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,100000.0
28,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,1.0
29,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,4.216965034285822
30,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,17.78279410038923
31,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,74.98942093324558
32,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,316.22776601683796
33,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,1333.521432163324
34,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,5623.413251903491
35,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,23713.737056616552
36,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,100000.0
37,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,1.0
38,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,4.216965034285822
39,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,17.78279410038923
40,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,74.98942093324558
41,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,316.22776601683796
42,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,1333.521432163324
43,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,5623.413251903491
44,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,23713.737056616552
45,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,100000.0
46,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,1.0
47,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,4.216965034285822
48,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,17.78279410038923
49,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,74.98942093324558
50,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,316.22776601683796
51,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,1333.521432163324
52,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,5623.413251903491
53,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,23713.737056616552
54,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1333.521432163324,100000.0
55,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,1.0
56,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,4.216965034285822
57,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,17.78279410038923
58,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,74.98942093324558
