paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,1e-06,1e-06
2,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,1e-06,0.0005623413251903491
3,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,1e-06,0.31622776601683794
4,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,1e-06,177.82794100389228
5,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,1e-06,100000.0
6,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.0005623413251903491,1e-06
7,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.0005623413251903491,0.0005623413251903491
8,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.0005623413251903491,0.31622776601683794
9,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.0005623413251903491,177.82794100389228
10,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.0005623413251903491,100000.0
11,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.31622776601683794,1e-06
12,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.31622776601683794,0.0005623413251903491
13,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.31622776601683794,0.31622776601683794
14,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.31622776601683794,177.82794100389228
15,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,0.31622776601683794,100000.0
16,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,177.82794100389228,1e-06
17,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,177.82794100389228,0.0005623413251903491
18,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,177.82794100389228,0.31622776601683794
19,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,177.82794100389228,177.82794100389228
20,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,177.82794100389228,100000.0
21,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,100000.0,1e-06
22,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,100000.0,0.0005623413251903491
23,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,100000.0,0.31622776601683794
24,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,100000.0,177.82794100389228
25,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,1e-06,100000.0,100000.0
26,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,1e-06,1e-06
27,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,1e-06,0.0005623413251903491
28,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,1e-06,0.31622776601683794
29,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,1e-06,177.82794100389228
30,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,1e-06,100000.0
31,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.0005623413251903491,1e-06
32,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.0005623413251903491,0.0005623413251903491
33,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.0005623413251903491,0.31622776601683794
34,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.0005623413251903491,177.82794100389228
35,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.0005623413251903491,100000.0
36,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.31622776601683794,1e-06
37,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.31622776601683794,0.0005623413251903491
38,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.31622776601683794,0.31622776601683794
39,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.31622776601683794,177.82794100389228
40,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,0.31622776601683794,100000.0
41,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,177.82794100389228,1e-06
42,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,177.82794100389228,0.0005623413251903491
43,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,177.82794100389228,0.31622776601683794
44,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,177.82794100389228,177.82794100389228
45,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,177.82794100389228,100000.0
46,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,100000.0,1e-06
47,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,100000.0,0.0005623413251903491
48,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-06,0.0001,100000.0,0.31622776601683794
