paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
47,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,5.623413251903491
48,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,31.622776601683793
49,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,177.82794100389228
50,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,1000.0
51,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,5623.413251903491
52,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,31622.776601683792
53,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,177827.94100389228
54,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5623.413251903491,1000000.0
55,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,1.0
56,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,5.623413251903491
57,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,31.622776601683793
58,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,177.82794100389228
59,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,1000.0
60,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,5623.413251903491
61,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,31622.776601683792
