paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1.0
2,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,4.216965034285822
3,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,17.78279410038923
4,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,74.98942093324558
5,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,316.22776601683796
6,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1333.521432163324
7,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,5623.413251903491
8,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,23713.737056616552
9,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,100000.0
10,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1.0
11,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,4.216965034285822
12,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,17.78279410038923
13,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,74.98942093324558
14,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,316.22776601683796
15,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1333.521432163324
16,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,5623.413251903491
17,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,23713.737056616552
18,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,100000.0
19,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1.0
20,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,4.216965034285822
21,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,17.78279410038923
22,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,74.98942093324558
23,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,316.22776601683796
24,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1333.521432163324
25,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,5623.413251903491
26,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,23713.737056616552
27,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,100000.0
28,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,1.0
29,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,4.216965034285822
30,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,17.78279410038923
31,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,74.98942093324558
32,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,316.22776601683796
33,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,1333.521432163324
34,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,5623.413251903491
35,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,23713.737056616552
36,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,100000.0
37,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,1.0
38,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,4.216965034285822
39,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,17.78279410038923
40,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,316.22776601683796,74.98942093324558
