paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
1,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05
2,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,1e-05,0.001
3,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0
4,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.001,1e-05
5,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.001,0.001
6,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.001,1.0
7,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.1,1e-05
8,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.1,0.001
9,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.1,1.0
10,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,1e-05,1e-05
11,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,1e-05,0.001
12,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,1e-05,1.0
13,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.001,1e-05
14,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.001,0.001
15,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.001,1.0
16,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.1,1e-05
17,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.1,0.001
18,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.1,1.0
19,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,1e-05,1e-05
20,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,1e-05,0.001
21,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,1e-05,1.0
22,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,0.001,1e-05
23,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,0.001,0.001
24,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,0.001,1.0
25,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,0.1,1e-05
26,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,0.1,0.001
27,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,100.0,1e-05,0.1,1.0
28,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,1e-05,1e-05
29,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,1e-05,0.001
30,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,1e-05,1.0
31,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,0.001,1e-05
32,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,0.001,0.001
33,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,0.001,1.0
34,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,0.1,1e-05
35,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,0.1,0.001
36,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,10000.0,1e-05,0.1,1.0
37,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,1e-05,1e-05
38,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,1e-05,0.001
39,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,1e-05,1.0
40,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,1e-05
41,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,0.001
42,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,1.0
43,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,1e-05
44,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,0.001
45,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,1.0
46,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,1e-05
47,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,0.001
48,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,1.0
49,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,1e-05
50,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,0.001
51,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,1.0
52,30,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,1e-05
