paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,1.0
2,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,10.0
3,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,100.0
4,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,1000.0
5,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,10000.0
6,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,100000.0
7,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1.0,1000000.0
8,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,1.0
9,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,10.0
10,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,100.0
11,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,1000.0
12,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,10000.0
13,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,100000.0
14,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10.0,1000000.0
15,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,1.0
16,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,10.0
17,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,100.0
18,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,1000.0
19,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,10000.0
20,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,100000.0
21,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100.0,1000000.0
22,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,1.0
23,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,10.0
24,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,100.0
25,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,1000.0
26,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,10000.0
27,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,100000.0
28,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,1000.0,1000000.0
29,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,1.0
30,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,10.0
31,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,100.0
32,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,1000.0
33,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,10000.0
34,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,100000.0
35,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,10000.0,1000000.0
36,20,1,0.001,2.0,0.001,0.001,0.001,2.0,0.001,0.001,1.0,1.0,100000.0,1.0
