paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
41,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,0.001
42,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.001,1.0
43,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,1e-05
44,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,0.001
45,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1000000.0,1e-05,0.1,1.0
46,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,1e-05
47,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,0.001
48,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,1e-05,1.0
49,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,1e-05
50,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,0.001
51,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.001,1.0
52,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,1e-05
53,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,0.001
54,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,0.01,1e-05,0.1,1.0
55,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,1e-05,1e-05
56,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,1e-05,0.001
57,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,1e-05,1.0
58,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.001,1e-05
59,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.001,0.001
60,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.001,1.0
61,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.1,1e-05
62,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.1,0.001
63,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.1,1.0
64,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,1e-05,1e-05
65,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,1e-05,0.001
66,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,1e-05,1.0
67,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.001,1e-05
68,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.001,0.001
69,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.001,1.0
70,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.1,1e-05
71,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.1,0.001
72,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.1,1.0
73,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,1e-05,1e-05
74,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,1e-05,0.001
75,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,1e-05,1.0
76,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.001,1e-05
77,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.001,0.001
78,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.001,1.0
79,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.1,1e-05
80,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.1,0.001
81,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.1,1.0
82,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,1e-05,1e-05
83,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,1e-05,0.001
84,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,1e-05,1.0
85,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.001,1e-05
86,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.001,0.001
87,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.001,1.0
88,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.1,1e-05
89,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.1,0.001
90,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.1,1.0
91,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,1e-05,1e-05
92,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,1e-05,0.001
93,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,1e-05,1.0
94,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.001,1e-05
95,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.001,0.001
96,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.001,1.0
97,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.1,1e-05
98,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.1,0.001
99,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.1,1.0
100,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,1e-05,1e-05
101,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,1e-05,0.001
102,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,1e-05,1.0
103,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.001,1e-05
104,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.001,0.001
105,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.001,1.0
